"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Calcineurin activates NFAT",9,2,23,34,45,45,56,67,0.222222222222222
"Calcitonin-like ligand receptors",10,1,12,12,12,12,12,12,0.1
"Calmodulin induced events",35,8,1,4.25,13,11,18,38,0.228571428571429
"Calnexin/calreticulin cycle",26,12,3,8.75,79.4166666666667,14.5,38.75,696,0.461538461538462
"Cam-PDE 1 activation",4,0,NA,NA,NA,NA,NA,NA,0
"Cap-dependent Translation Initiation",120,31,2,15.5,42.6451612903226,30,46.5,256,0.258333333333333
"Carboxyterminal post-translational modifications of tubulin",46,13,1,10,53.9230769230769,22,36,345,0.282608695652174
"Cardiac conduction",130,34,1,9.25,51.4411764705882,28,66.25,268,0.261538461538462
"Cardiogenesis",27,6,1,2.5,62.3333333333333,13.5,97.25,222,0.222222222222222
"Cargo concentration in the ER",33,8,4,11.25,64.125,21.5,67.5,247,0.242424242424242
"Cargo recognition for clathrin-mediated endocytosis",105,39,1,13.5,92.4358974358974,33,84.5,796,0.371428571428571
"Cargo trafficking to the periciliary membrane",71,25,1,17,70.96,35,113,345,0.352112676056338
"Carnitine shuttle",14,5,7,12,24.6,15,42,47,0.357142857142857
"Carnitine synthesis",4,0,NA,NA,NA,NA,NA,NA,0
"Caspase activation via Death Receptors in the presence of ligand",16,9,5,12,21.5555555555556,23,26,49,0.5625
"Caspase activation via Dependence Receptors in the absence of ligand",10,6,9,11.75,16.5,17,20,25,0.6
"Caspase activation via extrinsic apoptotic signalling pathway",26,15,5,11,19.5333333333333,17,25,49,0.576923076923077
"Caspase-mediated cleavage of cytoskeletal proteins",12,4,5,7.25,96.75,14.5,104,353,0.333333333333333
"Catecholamine biosynthesis",4,0,NA,NA,NA,NA,NA,NA,0
"Cation-coupled Chloride cotransporters",7,3,14,21.5,114.333333333333,29,164.5,300,0.428571428571429
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",60,12,4,14.75,30.1666666666667,20.5,50.5,65,0.2
"Cell Cycle",688,216,1,9,64.6574074074074,27.5,76.25,802,0.313953488372093
"Cell Cycle Checkpoints",290,98,1,8,55.9489795918367,18.5,59.25,608,0.337931034482759
"Cell Cycle, Mitotic",552,169,1,9,62.3786982248521,31,75,802,0.306159420289855
"Cell death signalling via NRAGE, NRIF and NADE",76,31,1,10,74.8387096774194,27,85,486,0.407894736842105
"Cell junction organization",305,79,2,13,65.4556962025316,39,80.5,385,0.259016393442623
"Cell recruitment (pro-inflammatory response)",26,7,11,13,57.5714285714286,29,79.5,178,0.269230769230769
"Cell surface interactions at the vascular wall",194,37,1,9,42.1081081081081,22,37,307,0.190721649484536
"Cell-Cell communication",341,88,2,12,60.9772727272727,32,75.25,385,0.258064516129032
"Cell-cell junction organization",278,74,2,13,63.8243243243243,34,78.25,385,0.266187050359712
"Cell-extracellular matrix interactions",18,3,2,36,72.6666666666667,70,108,146,0.166666666666667
"Cellular Senescence",197,69,2,11,71.7536231884058,32,82,802,0.350253807106599
"Cellular hexose transport",21,3,35,97.5,146,160,201.5,243,0.142857142857143
"Cellular response to chemical stress",198,53,3,13,54.4716981132075,28,62,386,0.267676767676768
"Cellular response to heat stress",101,41,1,14,65.9756097560976,32,58,383,0.405940594059406
"Cellular response to hypoxia",62,20,4,14,32.7,21.5,37,164,0.32258064516129
"Cellular response to mitochondrial stress",9,3,4,27.5,39,51,56.5,62,0.333333333333333
"Cellular response to starvation",157,40,1,14.75,62.25,31.5,66.25,383,0.254777070063694
"Cellular responses to mechanical stimuli",103,39,2,6.5,61.3846153846154,17,49,722,0.378640776699029
"Cellular responses to stimuli",921,291,1,10,63.553264604811,28,64.5,802,0.315960912052117
"Cellular responses to stress",811,254,1,11.25,64.9133858267717,31,67.75,802,0.313193588162762
"Centrosome maturation",81,20,4,28.5,58.35,41.5,97.75,130,0.246913580246914
"Ceramide signalling",3,0,NA,NA,NA,NA,NA,NA,0
"ChREBP activates metabolic gene expression",8,4,1,11.5,62,31,81.5,185,0.5
"Chaperone Mediated Autophagy",22,8,2,15,46,18.5,71,145,0.363636363636364
"Chaperonin-mediated protein folding",92,21,6,12,68.7142857142857,31,97,345,0.228260869565217
"Chemokine receptors bind chemokines",57,9,5,7,54.8888888888889,29,57,192,0.157894736842105
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",15,2,8,22,36,36,50,64,0.133333333333333
"Cholesterol biosynthesis",27,7,7,17,153.285714285714,51,281.5,418,0.259259259259259
"Cholesterol biosynthesis via desmosterol",4,0,NA,NA,NA,NA,NA,NA,0
"Cholesterol biosynthesis via lathosterol",8,1,26,26,26,26,26,26,0.125
"Choline catabolism",6,2,11,12.25,13.5,13.5,14.75,16,0.333333333333333
"Chondroitin sulfate/dermatan sulfate metabolism",37,13,1,4,14.6153846153846,8,15,53,0.351351351351351
"Chromatin modifications during the maternal to zygotic transition (MZT)",70,30,4,10,53.3333333333333,36.5,81.25,251,0.428571428571429
"Chromatin modifying enzymes",272,98,1,11.25,71.0102040816327,32.5,81.75,608,0.360294117647059
