"source_genesymbol","target_genesymbol","interact"
"RPS6KA1","RPTOR",1
"CASP8","CASP8AP2",1
"CASP8AP2","CASP8",1
"MAPK3","MAP2K1",1
"MAP2K1","MAPK3",1
"MAPK3","RPS6KA3",1
"RPS6KA3","MAPK3",0
"MAPK1","RPS6KA1",1
"RPS6KA1","MAPK1",1
"DAPK3","MYL9",1
"MAPK1","RPS6KA3",1
"RPS6KA3","MAPK1",0
"MAPK1","DAPK1",1
"DAPK1","MAPK1",-1
"SRC","DAPK1",-1
"PTPRF","DAPK1",1
"DAPK3","DAPK1",0
"DAPK1","DAPK3",1
"DAPK1","TSC2",0
"MAPK3","DAPK1",1
"DAPK1","MAPK3",-1
"HSP90AA1","DAPK1",1
"NEO1","DAPK1",1
"RRAS","RAF1",1
"DAPK1","UNC5B",0
"UNC5B","DAPK1",0
"RPS6KA1","DAPK1",-1
"RPS6KA3","DAPK1",-1
"RAF1","MAP2K1",1
"MAP2K1","RAF1",0
"GSN","ACTG1",1
"DAPK3","NR3C1",1
"RPL13A","DAPK3",-1
"DAPK3","PPP1R14A",1
"DAPK3","PPP1R12A",-1
"CTNNB1","DAPK2",-1
"DAPK3","AR",1
"ROCK1","DAPK3",1
"PPP1R14A","PPP1CA",-1
"RPL13A","DAPK1",-1
"DAPK1","TLN1",-1
"TLN1","ITGB1",1
"DAPK1","ITGA3",-1
"DAPK1","CDKN2A",1
"DAPK1","CDKN2A",1
"SMAD4","DAPK1",1
"SMAD3","DAPK1",1
"CDC42","MAP3K4",1
"MAP3K4","CDC42",-1
"RAC1","MAP3K1",1
"STAT3","WNT5A",1
"RAC1","MAP3K4",1
"MAP3K4","RAC1",0
"ATM","MDC1",1
"MDC1","ATM",1
"SP1","WNT5A",1
"TP53","AIFM2",1
"TP53","ANLN",-1
"TP53","ABCB1",0
"TP53","ACTA2",1
"TP53","ARID3A",1
"TP53","ADGRB1",1
"TP53","APC",0
"ELAVL1","SIRT1",1
"CHEK2","ELAVL1",1
"E2F3","CCNB1",1
"CHEK1","WEE1",0
"E2F1","EED",1
"WNT5A","FZD2",0
"MIR17HG","CDKN1A",-1
"PUF60","MYC",-1
"PUF60","FUBP1",-1
"AKT1","CDKN1A",0
"CDK7","ETS1",1
"FUBP1","MYC",1
"CDKN1A","E2F1",-1
"E2F1","CDKN1A",1
"FBXL17","CRY2",-1
"MECP2","PER1",1
"MECP2","PER2",1
"E2F3","CDKN2A",0
"E2F3","CDKN2A",0
"PAIP2","PER1",-1
"BTG2","PER1",-1
"BTG3","PER2",-1
"PAIP2","PER2",-1
"E2F4","CLSPN",-1
"E2F2","CDKN2A",1
"E2F2","CDKN2A",1
"CDK1","BRCA1",1
"E2F1","CDT1",1
"E2F1","CDKN2A",0
"CDKN2A","E2F1",-1
"CDKN2A","E2F1",-1
"E2F1","CDKN2A",0
"E2F2","PCNA",1
"E2F6","BRCA1",-1
"E2F6","CBX5",-1
"UBE2T","FANCL",1
"UBE2T","FANCI",1
"SUMO2","PML",0
"TP53","DNMT1",-1
"SUMO1","PML",1
"UBE2T","FANCD2",1
"TP53","EGFR",1
"MAPKAPK2","CDC25A",-1
"TP53","EPHA2",1
"CHEK1","CDC25B",-1
"TP53","EDN2",1
"MAPKAPK2","CDC25C",-1
"TP53","EEF1A1",1
"MAPKAPK2","CDC25B",-1
"TP53","HTT",1
"TP53","GPX1",1
"TP53","GML",1
"TP53","FANCC",1
"TP53","HGF",1
"ATM","SLX4",1
"STAT1","FAS",1
"STAT1","CDKN1A",1
"NFE2L2","PRDX1",1
"ATM","BID",1
"KDM2B","PRDX4",1
"KDM2B","NQO1",1
"ATR","RBBP8",1
"RBBP8","ATR",1
"ATR","FANCI",1
"E2F1","APAF1",1
"CDK1","E2F1",1
"E2F1","CDK1",1
"E2F2","EED",1
"MTOR","EIF4EBP3",0
"MTOR","EIF4EBP2",0
"MAPKAPK2","TSC1",-1
"TP53","BDKRB2",1
"TP53","BID",1
"MAP3K8","MAP3K14",1
"IKBKB","TSC1",-1
"TP53","BCL2L14",1
"MAP3K8","MAP2K4",1
"AKT1","RICTOR",-1
"RICTOR","AKT1",1
"EIF4EBP2","EIF4E",-1
"EIF4EBP1","EIF4E",0
"MTOR","EIF4EBP1",0
"EIF4EBP1","MTOR",1
"EIF4EBP3","EIF4E",0
"TP53","CCNK",1
"BCL10","IKBKG",1
"TP53","CASP6",1
"TP53","CASP10",1
"TP53","CASP1",1
"IKBKB","MAP3K14",0
"MAP3K14","IKBKB",1
"TP53","RGCC",1
"TP53","BNIP3L",1
"IKBKB","TNFAIP3",0
"TNFAIP3","IKBKB",-1
"TP53","BIRC5",-1
"TNIP1","IKBKG",1
"E2F2","EZH2",1
"E2F4","CDT1",0
"E2F1","DBF4",1
"CCNA2","E2F1",1
"E2F1","CCNA2",1
"ATM","NFAT5",1
"IL22","IL10RB",1
"TP53","CD82",1
"EPO","EPOR",1
"EPOR","EPO",-1
"TP53","CDC25C",-1
"CDC25C","TP53",0
"MAPKAPK2","TSC2",0
"TP53","CHMP4C",1
"TP53","COL18A1",1
"JAK2","STAT3",1
"TP53","DKK1",1
"TP53","DDR1",1
"KSR2","MAP3K8",-1
"CHEK2","TP53",0
"TP53","CHEK2",0
"NFKB1","MAP3K8",-1
"MAP3K8","NFKB1",-1
"TP53","CTSD",1
"ATM","STK11",1
"TP53","CRYZ",-1
"TP53","DDIT4",1
"TP53","HIPK2",0
"HIPK2","TP53",1
"TP53","CX3CL1",1
"ATM","HIPK2",0
"ATM","PPP2R5D",1
"ATM","PPP2R5C",1
"DACT2","ACVR1B",-1
"CASP1","GAPDH",-1
"CXCL16","CXCR6",1
"CASP1","IL37",1
"CASP1","CASP7",1
"GTF2I","CCND1",1
"KLKB1","PRKAG1",1
"CASP1","IL33",1
"CCL3L3","CCR5",1
"ASF1A","CHAF1B",1
"TNFRSF10C","TNFSF10",-1
"TNFSF10","TNFRSF10C",0
"IKBKB","MAP3K7",0
"MAP3K7","IKBKB",1
"STK11","PRKAG1",1
"ASF1B","CHAF1B",1
"TNFRSF10A","TNFRSF10B",1
"KAT8","H4C2",1
"PARP1","SUPT16H",0
"TNFRSF10A","RIPK1",1
"RIPK1","TNFRSF10A",0
"TNFRSF10B","RIPK1",1
"RIPK1","TNFRSF10B",0
"NMI","STAT1",1
"KRT18","TRADD",-1
"MYC","PMAIP1",0
"ATM","ABL1",1
"TNFRSF10A","TRADD",1
"TNFRSF10B","TRADD",1
"TRAF2","BIRC2",1
"BIRC2","TRAF2",-1
"TNFRSF1A","RIPK3",0
"RIPK3","TNFRSF1A",0
"IRF1","ISG20",1
"TRAF2","RIPK3",0
"RIPK3","TRAF2",0
"ATM","VCP",0
"XPC","ATM",1
"ATM","XPC",0
"PRKDC","UPF1",0
"STAT1","SOCS1",0
"IL10","IL10RA",1
"NLRP1","CASP5",1
"CASP1","FGF2",1
"CASP1","PYCARD",-1
"PYCARD","CASP1",1
"CARD18","CASP1",-1
"IRF1","NOS2",1
"ISG15","JAK1",1
"CARD16","CASP1",-1
"JAK1","IRS1",1
"IRS1","JAK1",1
"CASP1","IL1A",1
"JAK1","IRS2",1
"CASP1","SREBF2",1
"INSR","IRS2",0
"ATF2","MMP2",1
"E2F1","TP53INP1",1
"TP53","FDXR",1
"STAT1","CDKN1B",1
"CASP1","ENO1",-1
"TRAF2","MAP3K14",0
"MAP3K14","TRAF2",1
"ABL1","STAT1",1
"MAVS","IFIH1",-1
"IFIH1","MAVS",0
"TP53","TIGAR",1
"CASP1","TPI1",-1
"TP73","TP53INP1",1
"NOD2","MAP3K14",1
"PRKDC","CASP2",1
"PRKDC","ATM",0
"ATM","PRKDC",1
"ABL1","TOP1",1
"PIDD1","PRKDC",1
"STAT1","MYC",0
"ANO9","STAT1",1
"STAT1","IRF1",1
"CASP1","ALDOA",-1
"EIF2AK2","STAT1",0
"RIPK1","TICAM1",0
"TICAM1","RIPK1",1
"TICAM1","TBK1",1
"TBK1","TICAM1",0
"IKBKE","TICAM1",0
"TICAM1","IKBKE",1
"IFNG","IFNGR1",1
"RSF1","NFKB1",-1
"IFNB1","IRF3",0
"IRF3","IFNB1",1
"IRF7","IFNB1",1
"CLSPN","DDB2",1
"MDM2","PPP2R2D",-1
"IRF3","IFIT1",1
"MDM2","PPP2R2C",-1
"ISG15","IRF3",0
"IRF3","ISG15",1
"IRF3","CCL5",1
"DAPK1","TPM1",1
"MAP1B","DAPK1",1
"DAPK1","MAP1B",1
"ATM","SMC3",1
"E2F1","DAPK2",1
"EPO","DAPK2",1
"DAPK3","CDKN1A",1
"ZDHHC9","HRAS",1
"ZDHHC9","NRAS",1
"KLF6","DAPK2",1
"IGF2","IGF2R",1
"IGF2R","IGF2",0
"FLT3","FLT3LG",0
"FLT3LG","FLT3",1
"KIT","KITLG",0
"KITLG","KIT",1
"TAL1","NKX3-1",1
"IGF2","IGF1R",1
"IGF1R","IGF2",0
"ATM","STRAP",1
"SMG1","TP53",1
"CHEK2","STRAP",1
"LRRK2","MAP2K3",1
"LRRK2","MAP2K4",1
"TLR4","TIRAP",1
"KAT2B","H3C12",1
"TLR4","TICAM2",1
"TICAM2","TICAM1",1
"MAP3K7","TRAF6",0
"TRAF6","MAP3K7",1
"TICAM1","TRAF6",1
"TRAF6","TICAM1",1
"RCAN1","PPP3CA",-1
"PPP3CA","RCAN1",0
"TLR3","TICAM1",1
"MYD88","IRAK4",1
"IRAK4","MYD88",0
"GSK3B","RCAN1",0
"LRRK2","MAP2K7",1
"LRRK2","MAP2K6",1
"ATG14","BECN1",1
"SIRT2","FOXO1",0
"FOXO1","ATG7",1
"RUBCN","BECN1",-1
"CARD8","CASP9",-1
"CARD8","APAF1",-1
"SERPINB9","CASP1",-1
"CASP1","CARD8",-1
"CARD8","CASP1",-1
"DAPK3","MYL12A",1
"DAPK1","MYL12A",1
"ROCK1","MYL12A",1
"TP53","BCL2",-1
"BCL2","TP53",-1
"MTOR","DAP",0
